"id_pair","curated_smiles_molecule_a","curated_smiles_molecule_b","tanimoto_cdk_Extended","TanimotoCombo","frac_similar"
1,"CCN(CC)CC(=O)Nc1c(C)cccc1C","CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C",0.641434262948207,1.623,0.4688
2,"Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O","Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2",0.928846153846154,1.812,0.9375
3,"COc1ccccc1OCC(O)CO","COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1",0.381118881118881,1.064,0.1406
4,"CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1","CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1",0.213429256594724,0.674,0.0313
5,"C[C@H](N)Cc1ccccc1","CC(C)(N)Cc1ccccc1",0.905660377358491,1.69,0.8828
6,"C[C@H](NCCc1ccc(O)cc1)[C@H](O)c1ccc(O)cc1","O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O",0.199386503067485,0.766,0.0078
7,"O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I","O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F",0.865633074935401,1.832,0.9055
8,"CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1","O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1",0.22716049382716,0.698,0.0156
9,"COCCc1ccc(OCC(O)CNC(C)C)cc1","CC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)cc1",0.61231884057971,1.714,0.5669
10,"CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1","C[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1",0.98874296435272,1.897,0.9844
11,"CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C","CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C",0.712820512820513,1.951,0.9609
12,"OC(CCN1CCCCC1)(c1ccccc1)C1CCCC1","Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1",0.310344827586207,1.042,0
13,"O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1","Nc1ccc(O)c(C(=O)O)c1",0.199335548172757,0.574,0.0078
14,"CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21","N#CCCN1C(=O)C(O)N=C(c2ccccc2F)c2cc(Cl)ccc21",0.812339331619537,1.763,0.7421
15,"C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO","C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO",0.968468468468468,1.817,0.9212
16,"CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CC#N)[C@H]2SC1","CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1",0.721115537848606,1.371,0.5039
